id,vayu,source,answer,desc
634,【S8】,第四届随蓝知识竞赛,山丹丹花开红艳艳/山丹丹开花红艳艳,"此曲由《信天游》和《揽工调》改编而来，描绘了中央红军长征结束到达陕北的史实。歌曲以山水起兴，以红百合收尾，赞颂了英勇善战的红军精神。"
635,【Z2】,第四届随蓝知识竞赛,紫陌,"这个词可以指京城的道路，与当时铺路的土有关。首字是一种颜色，岑参奉和贾至的诗，以及欧阳修的一首浪淘沙都有提到。"
636,【H2】,第四届随蓝知识竞赛,滑稽,"这个词本义是形容说话正言若反，善于讽喻，后来指说话或动作引人发笑，百度最有名的气泡表情以此词命名。"
637,【D2】,第四届随蓝知识竞赛,东风,"1.波 2.汽车 3.昨夜 4.快递"
638,【J5】,第四届随蓝知识竞赛,竟夕起相思,"这句诗写的是作者望着月亮而整夜不眠，想念亲人。出自张九龄的《望月怀远》。上句是“情人怨遥夜”。"
639,【D4】,第四届随蓝知识竞赛,当且仅当,"这个词的意思是指，在，并只有在某些条件成立时，结论才成立。在数学中，该词与“充分必要”同义。"
640,【Y2】,第四届随蓝知识竞赛,要离,"这位屠夫的父亲为职业刺客，擅长击剑的他后来因成功刺杀庆忌被列为了四大刺客之一。"
641,【J3】,第四届随蓝知识竞赛,金仆姑,"这是一种兵器的名字，在卢纶的一首《塞下曲》中有提及，是箭的一种。辛弃疾的“燕兵夜娖银胡觮”的下句也提到了它。"
642,【M4】,第四届随蓝知识竞赛,茅塞顿开,"这个成语是谜语“野草、边关”的谜底，出自《孟子·尽心下》，意思是闭塞的思路忽然受到启发而打开。"
643,【L2】,第四届随蓝知识竞赛,罗隐,"这是一位唐朝诗人，他其貌不扬，屡试不第，却也认为“今朝有酒今朝醉”，“为谁辛苦为谁甜”也是他的名句。"
644,【D2】,第四届随蓝知识竞赛,地核,"这是地球固体圈层的一部分，温度非常高，是从古登堡界面到地球中心的部分，位于地球的最内部。"
645,【S2】,第四届随蓝知识竞赛,芍药,"1.夏初 2.居 3.春泪 4.妖无格"
646,【W4】,第四届随蓝知识竞赛,韦达定理,"这是一个数学名词，它说明了一元二次方程中根和系数的关系。"
647,【T4】,第四届随蓝知识竞赛,踏雪寻梅,"这是一首欢快的歌，也是孟浩然冬天经常骑驴所做的事情，歌曲的首句为“雪霁天晴朗，腊梅处处香”。"
648,【J2】,第四届随蓝知识竞赛,解析,"1.深入 2.答案 3.函数 4.弗洛伊德"
649,【T2】,第四届随蓝知识竞赛,跳远,"这是一个运动项目，通常由助跑、起跳、腾空、落地等动作组合而成，是一个田径项目，常沿直线助跑，以跳出的距离作为最终成绩。"
650,【M2】,第四届随蓝知识竞赛,梅花,"1.俱乐部 2.妆容 3.鹿 4.暗香"
651,【D7】,第四届随蓝知识竞赛,钿头银篦击节碎,"这句诗写的是弹奏者的发钗因为长期用来打节拍都损坏了。下一句是血色罗裙翻酒污。"
652,【D4】,第四届随蓝知识竞赛,定语从句,"这个词指的是英语中一个跟在名词或代词后进行修饰限定的句子，通常可用that或which等词作关系代词。"
653,【W4】,第四届随蓝知识竞赛,惟余莽莽,"这句词描写的是冬天的景色，是毛主席率领红军长征部队胜利时所写，此时只剩下了白茫茫的一片。上句是“望长城内外”。"
654,【P4】,第四届随蓝知识竞赛,平津战役,"这场战役是在战场南北都已经开战后才开始的，战争结束后，太原、青岛等6座城市成为失败方在华北的最后据点，这场战役中，北平和平解放。"
655,【Y2】,第四届随蓝知识竞赛,榆树,"这是一种乔木，先结果后长叶子，果实寿命只有一个月，飘落时就像撒硬币一般。这种植物常用于形容暮年或一个人不开窍。"
656,【T6】,第四届随蓝知识竞赛,踏破贺兰山缺,"这是一句词，作者因想起国耻而愤恨，希望亲自驾车出征踏平敌军的所在地。出自岳飞的《满江红》。"
657,【J2】,第四届随蓝知识竞赛,绝句,"这是一种体裁，通常有五言和七言，由四句组成。杜甫的“两个黄鹂鸣翠柳”便为该体裁的诗作。"
658,【H3】,第四届随蓝知识竞赛,红细胞,"这是哺乳动物体内的一种没有细胞核的细胞，也是血液中数量最多的血细胞。运输氧气时呈鲜红色。"
659,【W7】,第四届随蓝知识竞赛,闻说鸡鸣见日升,"这句诗写的是作者听说的一个观景地，据说在某座山的高塔上，报晓之后就能看到日出。出自王安石的《登飞来峰》。"
660,【C5】,第四届随蓝知识竞赛,出没风波里,"这句诗描写了捕鱼人的辛苦，人们只知道鲈鱼鲜美，但捕鱼人却驾着小船冒着风浪出没其中。"
661,【S2】,第四届随蓝知识竞赛,松下,"1.房栊 2.幸之助 3.童子 4.电器"
662,【H5】,第四届随蓝知识竞赛,浑欲不胜簪,"这句诗是杜甫在离乡避乱时看到自己的头发“川流不息”后发出的感慨，表现出他忧国思乡的心情。"
663,【K2】,第四届随蓝知识竞赛,空集,"这是一个数学名词，它是任何集合的子集，即不含任何元素的集合。"
664,【W7】,第四届随蓝知识竞赛,五月渔郎相忆否,"这句词是一个问句，写的是在长安漂泊的主人公看着荷花而思念故乡渔人的心情。下句是“小楫轻舟”。"
665,【Y2】,第四届随蓝知识竞赛,雨水,"这是一种可以入中药的物质，古代中医认为天然的它性轻清，味甘淡。夏日尤佳。可以去病。其主要成分是一种无机物，常温常压下为无色无味的透明液体，该词条与一个节气同名。"
666,【B3】,第四届随蓝知识竞赛,拔萝卜,"这是谜语“启莱”的谜底，是小蓓蕾组合曾经演唱过的一首儿歌。提到了两个人物和两只动物，描写了他们将某种植物从地上拔起的过程。"
667,【C4】,第四届随蓝知识竞赛,冲动消费,"这是一种购买行为，分多种类型，指顾客在外界因素促发下所进行的事先没有计划或者意识的购买行为。"
668,【T3】,第四届随蓝知识竞赛,天台山,"这是一座浙东名山，是唐朝诗人所向往的朝圣之地，从最狭义的范围来看，它为诸山总称。浙东某地级市因它而得名，李白为他写下“对此欲倒东南倾”。"
669,【W5】,第四届随蓝知识竞赛,无花只有寒,"这是一句诗，如果今天绿方咕了，可以用这句诗形容场上的情况。描写的是边塞农历五月的情景。出自李白的一首《塞下曲》。"
670,【L7】,第四届随蓝知识竞赛,刘郎已恨蓬山远,"这句诗作者是李商隐，后也被宋祁引用过。出自一首无题诗。运用了东汉时刘晨的典故，意思是主人公本已怨恨仙境的遥远。下句是“更隔蓬山一万重”。"
671,【H7】,第四届随蓝知识竞赛,还君明珠双泪垂,"这句诗表面上写的是一位女子，实际上是作者委婉地对一位官员提出的拒官请求。是张籍为李师道所写。下句是“恨不相逢未嫁时”。"
672,【Y4】,第四届随蓝知识竞赛,氧化产物,"这个词指在有电子转移的化学过程中，化合价上升的物质发生反应后得到的生成物。"
673,【J5】,第四届随蓝知识竞赛,基本不等式/均值不等式,"这个概念可表述为两个正实数的算术平均值大于或等于它们的几何平均值，是一个常用的不等式。"
674,【Y7】,第四届随蓝知识竞赛,云中谁寄锦书来,"这句词运用了苏蕙的典故，写的是作者在等待着远方传来的信件。出自李清照的一首《一剪梅》。"
675,【D4】,第四届随蓝知识竞赛,得意忘形,"这个成语可以指了解了思想精髓而不顾忌表现形式，出自《晋书·阮籍传》，现多指高兴得失去了常态，与“忘乎所以”意思相近。"
676,【M3】,第四届随蓝知识竞赛,迈克尔,"1.短跑 2.篮球 3.车王 4.舞王"
677,【H2】,第四届随蓝知识竞赛,合欢,"这是一种豆科含羞草亚科乔木，羽状复叶，花序鸡冠形红色，六七月开花。其名称含有阖家团圆及男女行房的意思。"
678,【B4】,第四届随蓝知识竞赛,闭门觅句,"这个成语出自黄庭坚的笔下，形容作诗时冥思苦想。最早用来形容陈师道，即陈无己。"
679,【N4】,第四届随蓝知识竞赛,南丁格尔,"这个英国人出生于意大利，曾在克里米亚战争中担任医疗护理工作，被称为提灯女神。1912年，国际护士理事会将她的生日定为国际护士节。"
680,【H7】,第四届随蓝知识竞赛,衡阳雁去无留意,"这句词写出了飞禽的迁徙，即大雁南飞到了湖南，出自范仲淹的一首《渔家傲》。"
681,【Y5】,第四届随蓝知识竞赛,欲将轻骑逐,"这句诗写的是匈奴首领逃离时，守关将军准备带兵追赶的场景，出自卢纶的塞下曲，下句是“大雪满弓刀”。"
682,【Y4】,第四届随蓝知识竞赛,永乐大典,"这是一部百科全书式的文献合集，由解缙和姚广孝在朱棣的命令下于永乐年间主持编撰。"
683,【W2】,第四届随蓝知识竞赛,王冕,"这是一位画家，曾有过隐居经历，也是一位著名诗人，曾为自己的画作题诗。他擅长山水画，尤其喜爱梅花。“只留清气满乾坤”出自他的笔下。"
684,【Q5】,第四届随蓝知识竞赛,千里暮云平,"这句诗描写的是傍晚的景象，这里在经历了一场狩猎后，原来射雕的地方现在已经只剩下了傍晚的云层。"
685,【B4】,第四届随蓝知识竞赛,被动语态,"这个词指的是英语中动词的一种形式，可以表示主语为谓语动词的承受者，通常用be加上过去分词来表示，类似于中文的被字句。"
686,【J4】,第四届随蓝知识竞赛,橘子洲头,"这是一句词，是作者在深秋时期观景时所站立的地点。该地点位于湖南长沙。上句是“湘江北去”。"
687,【L2】,第四届随蓝知识竞赛,六级,"1.Am 2.登其颠 3.强风 4.CET"
688,【F2】,第四届随蓝知识竞赛,分词,"在英语中，这是具有动词及形容词二者特征的词，常以-ing、-ed、-en等结尾，具有形容词功能，又表现动词性特点。"
689,【T2】,第四届随蓝知识竞赛,天津,"这是一个中国的地名，这个地方的著名美食与一种动物相关，这里也是相声的发源地之一。"
690,【C4】,第四届随蓝知识竞赛,成吉思汗,"这句词是作者在行军途中，望着苍茫大地，感叹大好河山，抒发爱国情怀时所作。全词列举了各个时代的杰出人物。这句词便是其中之一，他的后代创立了元朝。"
691,【C3】,第四届随蓝知识竞赛,丑奴儿/采桑子,"这是一个词牌名。这道题有两个答案，答出任意一个均可。该词牌为双调，仅有4字和7字句。毛主席用该词牌写过重阳，辛弃疾写过“却道天凉好个秋”。"
692,【X3】,第四届随蓝知识竞赛,西昆体,"这是宋朝初年流行的一个诗歌流派，追求形式美与声律整齐，得名于《西昆酬唱集》。"
693,【B2】,第四届随蓝知识竞赛,白石,"1.涧底 2.姜夔 3.荆溪 4.画虾"
694,【G2】,第四届随蓝知识竞赛,古筝,"这是一种乐器，作为传统的弹拨乐器，其弦数也随着时代的更迭而变化，最早为25根弦，唐宋时有13根，目前常用规格为21根弦。该乐器的经典曲目有《渔舟唱晚》等。"
695,【J5】,第四届随蓝知识竞赛,脚著谢公屐/脚着谢公屐,"这句诗提到了一位诗人的一种发明，是李白梦见自己登山时所写。他穿着谢灵运发明的登山工具。"
696,【Y2】,第四届随蓝知识竞赛,蚁酸,"这是一种可溶于水、可以发生银镜反应的简单有机物的俗名。是最简单的有机酸。"
697,【R7】,第四届随蓝知识竞赛,挼尽梅花无好意,"这是一句词，描写作者手上拿着梅花却没有心情欣赏，只好把花瓣都揉烂，出自李清照《清平乐·年年雪里》，下一句是“赢得满衣清泪”。"
698,【R6】,第四届随蓝知识竞赛,人面不知何处,"这句词是晏殊所写，运用了崔护的典故，只比崔护的诗句少了一个字。下句是“绿波依旧东流”。"
699,【Q3】,第四届随蓝知识竞赛,千瓦时,"这是物理学上的一个单位，可以用来量度能量，通常用于电器中。表示一件功率为一千瓦的电器在使用一小时之后所消耗的能量。"
700,【J7】,第四届随蓝知识竞赛,旌旗十万斩阎罗,"这句诗写于1936年冬，诗人不畏牺牲，决心在阴间与死去的战友们一道与反动派斗争到底。上句是“此去泉台招旧部”"
701,【W5】,第四届随蓝知识竞赛,我歌月徘徊,"这句诗写的是作者在夜晚独自饮酒后，在月下酒兴一发而与明月一同欢乐的情景。作者吟唱时，月亮好像一直跟随着他。"
702,【L7】,第四届随蓝知识竞赛,乱入池中看不见,"这句诗写的是采莲女孩，因其罗裙嫩绿，笑靥如花，与池中植物一样而无法分辨，出自王昌龄《采莲曲》。"
703,【H3】,第四届随蓝知识竞赛,化合物,"这是一类物质的统称，指的是由两种或两种以上的元素组成的纯净物。"
704,【X7】,第四届随蓝知识竞赛,乡音无改鬓毛衰,"这句诗写的是作者时隔多年重回故地的变化，虽然他的口音还是没变，但是已经老了。"
705,【Q4】,第四届随蓝知识竞赛,强军战歌,"这首歌曲创作于2013年，歌曲慷慨激昂，上行跳进，表现了新时代军队的发展方向。是新兵入营和新生军训的第一课。"
706,【J4】,第四届随蓝知识竞赛,鸠占鹊巢,"这个成语出自《诗经》，原文与女子出嫁有关，写到了两种鸟，现在指强行抢夺别人的位置。"
707,【S3】,第四届随蓝知识竞赛,肾小管,"这是人体泌尿系统的一部分，与肾小囊壁层相连，具有重吸收功能，呈管状。"
708,【Q3】,第四届随蓝知识竞赛,丘吉尔,"这位作家的作品以其洗练的用词和独到的见解，获得了1953年诺贝尔文学奖，其演讲被誉为“有重新锻造历史的力量”，是二战时的英国首相。"
709,【Y2】,第四届随蓝知识竞赛,一般,"1.普通 2.通常 3.谦辞 4.见识"
710,【Y2】,第四届随蓝知识竞赛,扬州,"1.邗沟 2.秦观 3.孤帆远影 4.瘦西湖"
711,【J5】,第四届随蓝知识竞赛,经冬复历春,"这句诗描写的是季节的更替，是作者客居他乡与家人通信受阻所写。出自宋之问的《渡汉江》。"
712,【S4】,第四届随蓝知识竞赛,孙子兵法,"这是一部古代典籍，记述了一个著名军事家的用兵策略。这个军事家和“三令五申”有关，即孙武。"
713,【Y4】,第四届随蓝知识竞赛,云销雨霁,"这句古文描写的是一场宴会的天气状况，意思是云散开了，雨停了，出自《滕王阁序》。"
714,【H2】,第四届随蓝知识竞赛,火箭,"1.宝可梦 2.大小王 3.NBA 4.101"
715,【M4】,第四届随蓝知识竞赛,马来西亚,"这个国家位于热带，但热带气旋很少登陆。该国有三个陆上邻国，是一个联邦国家，与中国有领土领海纠纷。首都是吉隆坡。"
716,【G5】,第四届随蓝知识竞赛,更与何人说,"这句词写于送别之时，表达了离别之后作者将难以再找人表达自己的情绪。是柳永一首《雨霖铃》的最后一句。"
717,【Y5】,第四届随蓝知识竞赛,欲语泪先流,"这句词写出了作者在暮春时睹物思人的悲伤。作者还未开口表达自己的情绪就已经哭了出来。上句是“物是人非事事休”。"
718,【H5】,第四届随蓝知识竞赛,还乡须断肠,"这句词出自韦庄的一首《菩萨蛮》，描写了作者在江南漂泊，但却因为家乡战乱而认为回乡后肯定会十分悲伤。"
719,【C3】,第四届随蓝知识竞赛,长干行,"这首乐府题材诗歌描写了一对相恋的男女，作者是李白。李益、崔颢也写过同题诗歌。青梅竹马出自此诗。"
720,【C2】,第四届随蓝知识竞赛,重复/重做,"这是计算机的一种编辑功能，在编辑或文件处理过程中，如果不小心点了撤销，可以用快捷键ctrl+Y执行该操作，返回原界面。"
721,【Z2】,第四届随蓝知识竞赛,纸币,"这是一种使用较为方便的，可以用于交易的物品，其材质较轻，宋代的交子便是该实体通货的雏形。"
722,【Z3】,第四届随蓝知识竞赛,查良镛,"这是一位作家，他虽然生于中国，却有英国和法国的文艺勋章。他一生几乎只写一种主题的作品，却已成为了该领域的巅峰。后人用十四个字概括了他的代表作：飞雪连天射白鹿，笑书神侠倚碧鸳。"
723,【F2】,第四届随蓝知识竞赛,酚酞,"这种物质带有多个苯环，整个分子遇到一定条件可以在平面和立体中变换，是一种泻药，也是一种常用分析试剂，使用量一般较小，常见有红色和无色两种形态，可作为指示剂。"
724,【S2】,第四届随蓝知识竞赛,世界,"这个词最早出自《楞严经》，可以指人类社会一切事物的总和，与古代的“天下”表达的意义相近。"
725,【C2】,第四届随蓝知识竞赛,撤销,"这是计算机的一种编辑功能，在编辑或文件处理过程中，如果所做操作不正确，可以用快捷键ctrl+Z执行该操作，返回上一界面。"
726,【H5】,第四届随蓝知识竞赛,环滁皆山也,"这是一句词，概括了安徽某地的风景，出自黄庭坚的一首《瑞鹤仙》，该作品隐括了欧阳修的一篇著名古文，且与全文的第一句相同。"
727,【D3】,第四届随蓝知识竞赛,戴高乐,"这是一个著名的作家、军事家，他少时志向从戎，在战场上曾被敌军俘虏，但他五次逃离又五次被抓回。后来，他带领着武装力量和外族侵略者作斗争，最终夺回了法国，被称为国父。"
728,【A4】,第四届随蓝知识竞赛,安全电压,"这个词指的是不致使人直接致死或致残的，即不高于36V的电压。"
729,【Y8】,第四届随蓝知识竞赛,亚热带常绿硬叶林,"这是一种植被类型，其叶片常披绒毛或退化成刺，常绿坚硬，以适应炎热干燥的地中海气候。"
730,【Z2】,第四届随蓝知识竞赛,字体,"这是一个计算机名词，在Word中，可通过快捷键ctrl+D来调整所选的文本的该属性，即文本的大小、样式等。"
731,【S7】,第四届随蓝知识竞赛,疏影横斜水清浅,"这句诗与光的折射有关，从水中的倒影描写出了梅花的姿态，出自林逋的《山园小梅》。"
732,【Y7】,第四届随蓝知识竞赛,一片春愁待酒浇,"这句词写于吴江上，虽时值春季，但漂泊行舟的作者因思乡而依然需要借酒消愁。出自蒋捷的一首《一剪梅》。"
733,【S8】,第四届随蓝知识竞赛,送杜少府之任蜀州,"这是一首著名的送别诗，写于友人上任之时，劝勉友人不要因离别而哀伤，“海内存知己”出自这一作品。"
734,【H4】,第四届随蓝知识竞赛,回眸一笑,"这个成语通常用来形容女子的面部表情，在《长恨歌》中有出现，即转动眼珠，嫣然一笑。"
735,【Z7】,第四届随蓝知识竞赛,只恐夜深花睡去,"这句诗写了诗人非常喜爱海棠花，高举蜡烛看海棠，就怕花因为天黑而合拢。作者是苏轼。"
736,【D5】,第四届随蓝知识竞赛,带月荷锄归,"这句诗描写作者隐居务农，十分积极，干活到很晚才带着农具回住所。出自《归园田居》。"
737,【J4】,第四届随蓝知识竞赛,济南二安,"这是一个文人组合，所有人均来自同一座城市，共两人。因他们的字号中都含有“安”字而得名，即李清照和辛弃疾。"
738,【C4】,第四届随蓝知识竞赛,从长计议,"这个成语是谜语“跳远评分”的谜底，意思是用比较久的时间慎重考虑，仔细商量，而非速战速决。"
739,【B4】,第四届随蓝知识竞赛,变本加厉,"这个成语出自萧纲的《文选序》，在原文中与“踵事增华”连用。原意为在原来的基础上更加发展，现多用作贬义，指情况变得比原来更加严重。"
740,【X11】,第四届随蓝知识竞赛,先帝创业未半而中道崩殂,"这句话描述的是一个国家的现状，出自一篇写给皇帝的文章，作者即将出征。是全文的第一句，下句是“今天下三分”。"
741,【S9】,第四届随蓝知识竞赛,十一月四日风雨大作,"这是一组诗的题目，共两首，一首温馨但却孤冷，另一首无奈但却热血，描写了作者虽然隐居山村，但仍然想着保家卫国的心情。“铁马冰河入梦来”出自这组作品。"
742,【J2】,第四届随蓝知识竞赛,价值,"在经济学中，这是商品的一个重要性质，即凝结在商品中的无差别人类劳动，它决定了商品的价格。"
743,【Y7】,第四届随蓝知识竞赛,雨打梨花深闭门,"这句词秦观、唐寅、李重元都写过，秦观的上句是“甫能炙得灯儿了”，唐寅的下句是“忘了青春”或“孤负青春”，李重元的上句是“欲黄昏”。"
744,【X7】,第四届随蓝知识竞赛,行人弓箭各在腰,"这句诗描写了即将出征的士兵的状态，出自一首讽刺了当时用兵的乐府诗，将士们分别佩着弓箭。上句是“马萧萧”。"
745,【S7】,第四届随蓝知识竞赛,深巷明朝卖杏花,"这句诗写的是作者在清晨听到的人声，前一晚失眠而听尽雨声的作者在第二天一早便听到了叫卖杏花的声音。"
746,【L2】,第四届随蓝知识竞赛,洛城,"1.天使 2.春风 3.看尽 4.紫陌"
747,【M3】,第四届随蓝知识竞赛,孟浩然,"这是一位诗人的姓和字，他好游山水，曾因在作品中指出皇帝不足而错过做官机会，也未曾做过官。《春晓》是他的代表作，其原名不详，因此人们直接称其字。"
748,【R3】,第四届随蓝知识竞赛,人不寐,"这是一句词，描写的是边塞地区出征的将士彻夜难眠。出自范仲淹的《渔家傲》。"
749,【F7】,第四届随蓝知识竞赛,飞入菜花无处寻,"这句诗以一个动词和一个名词写出两种黄色的生物，它们混在一起，导致玩耍的儿童分辨不清，作者是杨万里。"
750,【Z2】,第四届随蓝知识竞赛,字节,"这是一个计量单位，通常简写为B，可以表示计算机存储容量，通常为8位长的数据单位。1024个该单位可以用kB，即千字节表示。"
751,【X3】,第四届随蓝知识竞赛,歇后语,"这是一种常用的语句，通常只由一整句拆成前后两段，运用比喻、谐音等手法。是中国民间的文化创造。如“十五个吊桶打水——七上八下”。"
752,【S5】,第四届随蓝知识竞赛,朔风如解意,"这句诗写的是作者对梅花的喜爱之情，作者希望北风能够理解自己对梅花的这份情感，而不要摧残它。出自崔道融的《梅花》。"
753,【L2】,第四届随蓝知识竞赛,连城,"1.聊斋 2.烽火 3.价值 4.宫锁"
754,【P7】,第四届随蓝知识竞赛,凭君传语报平安,"这句诗写出了在没有写信条件时的传递信息的方式，岑参让进京的使者给家人捎个口信。"
755,【X3】,第四届随蓝知识竞赛,寻病终,"这句古文写的是一个高尚者寻找一个不存在的地方的结果，导致了“后遂无问津者”的结局。"
756,【H7】,第四届随蓝知识竞赛,红杏枝头春意闹,"这句词写出了春天时生意盎然的景象，其最后一个字被王国维评价为“境界全出”，作者也因这句词被称为“红杏尚书”。上句是“绿杨烟外晓寒轻”。"
757,【W2】,第四届随蓝知识竞赛,微博,"这是一种社交网络平台，通常用于分享简短的实时信息，最初设计时单帖字数被限制在140字以内。以新浪的该平台最为有名。"
758,【C4】,第四届随蓝知识竞赛,词不达意,"这是一个成语，说的是写文章时候所用的文词不能表达想说的意思。"
759,【Y2】,第四届随蓝知识竞赛,压强,"这是一个物理量，可以表示一种力的作用效果，通常用字母p表示，即物体所受的压力与受力面积之比。"
760,【T2】,第四届随蓝知识竞赛,通感,"这个名词指的是在描述客观事物时，用形象的语言将不同的感官互相沟通、交错，是一种修辞手法，也叫“移觉”。"
761,【F3】,第四届随蓝知识竞赛,风雅颂,"这是《诗经》六义中的三个，即诗经的三个部分：地方音乐，周王朝直辖的音乐，宗庙祭祀的音乐。"
762,【J5】,第四届随蓝知识竞赛,急急如律令,"这是汉代公文常用的结尾语词，也为道教所用，在电影《哪吒之魔童降世》的一个英文译本中被译为“fast fast biu biu”，意为情势紧急，应如同法律命令一样火速办理。"
763,【M5】,第四届随蓝知识竞赛,米开朗基罗/米开朗琪罗/米克朗琪罗/米克朗基罗,"这是一位著名的诗人，建筑师，画家，雕塑家。是意大利的文艺复兴后三杰之一。被罗曼罗兰写入《名人传》。《大卫》是他的代表作。"
764,【B2】,第四届随蓝知识竞赛,白兔,"1.竖起 2.奶糖 3.茕茕 4.捣药"
765,【L5】,第四届随蓝知识竞赛,聊赠一枝春,"这是一句南北朝时期的诗，写的是作者对北方的友人的祝福。陆凯托付使者将一枝梅花寄给范晔。"
766,【T2】,随蓝知识竞赛SP1,天命,"1.盛衰 2.清太祖 3.难违 4.五十"
767,【T1】,随蓝知识竞赛SP1,铜,"这是一种元素，该金属常见的氧化物有两种，分别为黑色和红色。无法与非氧化性酸发生置换反应，有29个质子，符号为Cu。"
768,【H4】,随蓝知识竞赛SP1,花团锦簇,"这个成语出自《景德传灯录》，形容十分华丽，花朵五彩缤纷的样子，就像锦绣汇集在一起。"
769,【S2】,随蓝知识竞赛SP1,三五,"1.皇帝 2.圆月 3.闺门 4.成群"
770,【B2】,随蓝知识竞赛SP1,半圆,"这是一个数学名词，是谜语50分的谜底，是一个几何图形，即180度的圆弧。"
771,【W3】,随蓝知识竞赛SP1,五十音,"这个概念起源于日本江户时代，是一张表，包含了日语的基本假名。"
772,【H3】,随蓝知识竞赛SP1,花信风,"这个词又称为“二十四风”，因其应24种植物的花期而到来，词的本义为“带有开花音讯的风候。"
773,【Q4】,随蓝知识竞赛SP1,黔驴技穷,"这个成语与一种动物有关，它把仅有的本领用完了。出自柳宗元的《黔之驴》。"
774,【D7】,随蓝知识竞赛SP1,东风夜放花千树,"这句词描写的是元宵节花灯的繁多，是该词的第一句。作者是辛弃疾。"
775,【R2】,随蓝知识竞赛SP1,闰土,"这个人被封建礼教和阶级观念束缚，从少年到中年发生了巨大转变，年轻时善于使用弶捕鸟和用钢叉刺猹。出自鲁迅的《故乡》。"
776,【S2】,随蓝知识竞赛SP1,试管,"这种化学仪器可在常温或加热下使用，是少量试剂的反应容器。"
777,【Z3】,随蓝知识竞赛SP1,着火点,"这是物质燃烧的三要素之一，它指的是可燃物燃烧所需要的最低温度。"
778,【L2】,随蓝知识竞赛SP1,醪糟,"这是一种酒，口味香甜醇美，乙醇含量极少，也是江南地区特色小吃，它经糯米发酵而成，也叫酒酿。"
779,【S4】,随蓝知识竞赛SP1,十六字令,"该词牌正体字数少于五绝，字数在词牌名中已给出。四句的字数分别为1"
780,【J4】,随蓝知识竞赛SP1,极权主义,"这个政治词汇含义是在追求政治在公众领域影响的同时，还要讲影响力施加于私人领域。历史上撒切尔时期的英国和斯大林时期的苏俄都曾出现过这种权力的集中。"
781,【F3】,随蓝知识竞赛SP1,复读机,"这种机器可以把声音信号数字化并存储下来重复播放。"
782,【Y4】,随蓝知识竞赛SP1,雁默先烹,"这个成语比喻没有才能的人先淘汰，出自庄子的典故，不能鸣叫的鹅应该先杀。"
783,【H2】,随蓝知识竞赛SP1,黑白,"1.是非 2.无常 3.棋 4.颜色"
784,【T5】,随蓝知识竞赛SP2,踏雪没心情,"这句词写的是作者无心过节的心态。曾好感月吟风的她觉得自己已经衰老，不愿在元宵再看灯赏雪。上句是“试灯无意思”"
785,【H3】,随蓝知识竞赛SP2,后庭花,"1.隋宫 2.词牌 3.流光 4.陈后主"
786,【B7】,随蓝知识竞赛SP2,北京东路的日子,"这首歌发行于2010年，是一首毕业季歌曲。由几位高中生创作，歌名中含有他们学校所在的街道。首句是“开始的开始，我们都是孩子”。"
787,【S7】,随蓝知识竞赛SP2,谁谓伤心画不成,"这个问句反用了前人高蟾的诗意，批判了迎合当权者的画家。作者是韦庄。下句是“画人心逐世人情”。"
788,【B4】,随蓝知识竞赛SP2,百万雄师,"这个成语指为数众多、威武雄壮的军队。前两个字均为数字。在毛主席“钟山风雨起苍黄”的下句提到过。"
789,【H4】,随蓝知识竞赛SP2,和平宣言,"这份文件共240字，4字一句。表达了对悲壮历史的追溯和对和平的呼唤。最早于2014年由77位中学生诵读，“一二一三，古城沦丧”为其中一句。"
790,【F4】,随蓝知识竞赛SP2,浮云蔽日,"这个成语比喻奸臣当道障蔽贤良，因古代把太阳当作帝王象征而有此比喻。李白《登金陵凤凰台》有提及。"
791,【Y3】,随蓝知识竞赛SP2,雨花石,"这种石头有“石中皇后”的美称，产于扬子江畔。据说有位云光法师讲经说法，感动了上天，落花如雨，花雨落地为石，故得名。"
792,【Q4】,随蓝知识竞赛SP2,秦淮八艳,"这是几位女子的合称，她们均为南曲名伎，活跃于明末清初的秦淮河畔，共8人。"
793,【Y7】,随蓝知识竞赛SP2,欲行不行各尽觞,"这句诗描写了依依惜别的场景，李白将赴扬州，在酒店内，金陵的朋友们即席相送。"
794,【Y6】,随蓝知识竞赛SP2,英特纳雄耐尔,"这是一个音译词，最早在一首法文歌曲中出现并被赋予新义，之后此歌曲成为了一个国家的国歌，传入中国后这个词被瞿秋白翻译，原意是“国际”。"
795,【X4】,随蓝知识竞赛SP2,新陈代谢,"这个词指机体与机体内环境之间的物质和能量交换以及生物体内物质和能量的自我更新过程。"
796,【G4】,随蓝知识竞赛SP2,故弄玄虚,"这个成语是谜语“老旧小巷黑又空”的谜底，意思是有意玩弄花招，迷惑人，欺骗人。"
797,【B7】,随蓝知识竞赛SP2,不指南方不肯休,"这句诗写的是一种工具的工作效果，作者用它来比喻自己的爱国之心，出自文天祥的《扬子江》。"
798,【M7】,随蓝知识竞赛SP2,莫待无花空折枝,"这句诗提醒人们应珍惜时间，不要等到花落了，只留下了树枝。"
799,【D3】,随蓝知识竞赛SP2,对顶角,"这个词指的是两条直线相交所形成的四个角中任意互不相邻的两个角的位置关系。"
800,【T4】,随蓝知识竞赛SP2,天津之眼,"这是世界上第一个桥上瞰景摩天轮，位于天津的永乐桥上。"
